,iso_code,continent,Country,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,stringency_index_median,stringency_index_mean,Days_pre_pandemic
311,AFG,Asia,Afghanistan,2020-12-31,52330.0,0.0,139.0,2189.0,0.0,9.0,1313.655,0.0,3.489,54.951,0.0,0.226,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.04,39835428.0,54.422,18.6,2.5810000000000004,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,,27.78,3.5905385085171773,82
1072,OWID_AFR,,Africa,2020-12-31,2760454.0,29789.0,23078.857000000004,65468.0,699.0,576.714,2009.815,21.689,16.803,47.666000000000004,0.509,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1373486472.0,,,,,,,,,,,,,,,,,,,,,81
1821,ALB,Europe,Albania,2020-12-31,58316.0,589.0,498.42900000000003,1181.0,7.0,8.0,20298.413,205.017,173.49099999999999,411.07800000000003,2.437,2.785,0.94,,,,,,,,,247526.0,2350.0,86.15799999999999,0.818,2208.0,0.769,0.2257,4.4,tests performed,,,,,,,,,,,,,,56.48,2872934.0,104.87100000000001,38.0,13.187999999999999,8.642999999999999,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.795,5812.4,26.67,54.6,2023.15820690625,56.48,4.0241386245410915,69
2570,DZA,Africa,Algeria,2020-12-31,99610.0,299.0,371.85699999999997,2756.0,5.0,7.2860000000000005,2232.576,6.702000000000001,8.334,61.771,0.11199999999999999,0.163,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.22,44616626.0,17.348,29.1,6.211,3.8569999999999998,13913.839,0.5,278.36400000000003,6.73,0.7,30.4,83.741,1.9,76.88,0.748,49888.7,26.86,29.47,1118.16388805375,70.83,4.157305426842603,74
3313,AND,Europe,Andorra,2020-12-31,8049.0,66.0,50.0,84.0,0.0,0.14300000000000002,104054.089,853.22,646.379,1085.917,0.0,1.847,1.08,,,,,,,,,,,,,545.0,7.046,0.0917,10.9,tests performed,,,,,,,,,,,,,,52.78,77354.0,163.755,,,,,,109.135,7.97,29.0,37.8,,,83.73,0.868,89.6,27.2,31.41,1158.3111409881801,50.0,3.8659332543590366,61
4038,AGO,Africa,Angola,2020-12-31,17553.0,120.0,74.857,405.0,0.0,1.714,517.275,3.536,2.206,11.935,0.0,0.051,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.74,33933611.0,23.89,16.8,2.405,1.3619999999999999,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,,,,,62.96,4.171323442533339,122
4755,AIA,North America,Anguilla,2020-12-31,13.0,0.0,0.28600000000000003,,,,859.5039999999999,0.0,18.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15125.0,,,,,,,,,,,,,81.88,,,,,,,,87
5487,ATG,North America,Antigua and Barbuda,2020-12-31,159.0,1.0,0.7140000000000001,5.0,0.0,0.0,1610.485,10.129,7.235,50.644,0.0,0.0,0.68,,,,,,,,,,,,,52.0,0.527,0.0137,72.8,tests performed,,,,,,,,,,,,,,,98728.0,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778,-57.8,-9.15,-20.16,-585.446884369176,,,72
6291,ARG,South America,Argentina,2020-12-31,1625514.0,11586.0,8807.0,43245.0,82.0,133.0,35642.685,254.047,193.111,948.2339999999999,1.798,2.9160000000000004,1.2,,,,,,,,,5126237.0,34858.0,112.40299999999999,0.764,34273.0,0.752,0.217,4.6,tests performed,32013.0,,,,,15656.0,0.07,,,,343.0,,,79.17,45605823.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67,0.845,41948.2,12.45,28.58,919.799210727981,77.31,4.214399647050057,75
7062,ARM,Asia,Armenia,2020-12-31,159409.0,531.0,466.714,2823.0,16.0,15.571,53706.916,178.90099999999998,157.24200000000002,951.105,5.391,5.246,0.64,,,,,,,,,595876.0,1973.0,200.75799999999998,0.665,2443.0,0.823,0.174,5.7,tests performed,,,,,,,,,,,,,,,2968128.0,102.931,35.7,11.232000000000001,7.571000000000001,8787.58,1.8,341.01,7.11,1.5,52.1,94.04299999999999,4.2,75.09,0.7759999999999999,10024.0,39.55,89.69,3377.21284257283,,,71
