,country,correlation_retail,correlation_grocery,correlation_parks,correlation_transit,correlation_workplace,correlation_residential
0,United Arab Emirates,-0.7308124720892466,-0.6982678337865906,-0.5190643197841218,-0.6302366264732255,-0.5874886027424255,0.6572716632199245
1,Afghanistan,-0.763132330343058,-0.6219349947556,-0.614027140446559,-0.6508267911332757,-0.6743688562294629,0.571032817996626
2,Angola,-0.5460090182785456,-0.4483459231057458,-0.481080613895314,-0.663466613598516,-0.34150496326714763,0.6669499112224462
3,Argentina,-0.8215001837946866,-0.5843112630497881,-0.8086075291423819,-0.8364524991332711,-0.6969807173596185,0.7880913037082045
4,Austria,-0.7583792884074111,-0.3735684191482188,-0.639433406661553,-0.7023654694993026,-0.5004352180790206,0.6955540246861286
5,Australia,-0.3963218596200659,-0.37396938593124845,-0.11956157639643045,-0.6045765855534564,-0.5353267730028368,0.460879350393847
6,Aruba,-0.6207566645035444,-0.47555907247360946,-0.46118475506111606,-0.6275593349560498,-0.6045706942353107,0.6164176069411283
7,Bosnia and Herzegovina,-0.7951071065480645,-0.6895933694834199,-0.5845500523332612,-0.8344125091899375,-0.677359126155069,0.7373714723954803
8,Barbados,-0.8080326746758608,-0.6777032323213509,-0.8161452203811482,-0.7535214032721218,-0.7864419894650827,0.8365616760362671
9,Bangladesh,-0.18786842760325517,0.012462820347844024,-0.09603098190949673,-0.10560529457686527,-0.13135679360096902,0.3335207291772499
10,Belgium,-0.7170387300331457,-0.3132741143036612,-0.3336739136108992,-0.7160386757763088,-0.4892034226962462,0.6818861642314649
11,Burkina Faso,-0.6592604524931495,-0.7455871874204704,-0.7116382888265188,-0.8102400932126831,-0.21763432395743204,0.6892383237578157
12,Bulgaria,-0.6529728340484001,-0.723928816995179,-0.49326149650921713,-0.7735009250419497,-0.44982014180047875,0.655807860872533
13,Bahrain,-0.0653175849444681,-0.11401533513530467,-0.04098442326227174,0.0004884877901419088,-0.18982619119635658,0.08610446796560724
14,Benin,,,,,,
15,Bolivia,-0.6561909655715614,-0.5415844700185253,-0.6281967888263219,-0.6307695272436443,-0.6006989940707579,0.6319106313689394
16,Brazil,-0.08396652731212889,0.360501107101463,-0.13729345171369123,-0.10983787461728997,0.015911958062418154,0.18290361752053985
17,Botswana,-0.585940269837385,-0.39067357628323374,-0.13677474737749684,-0.5132867346313,-0.6601585531854234,0.7503501848286432
18,Belarus,-0.4098389014371371,-0.17700792473435267,0.12847312883625797,-0.3728871795852019,-0.5313732327823836,-0.007979721707524845
19,Belize,-0.017199362833828273,0.06380287472547398,-0.077411191417692,-0.23192161086657345,-0.06682268809666743,0.09849288621421359
20,Canada,-0.4846211510091399,-0.2215213229242092,0.20865513977299838,-0.792419579389245,-0.4946941676036754,0.4623089813615286
21,Switzerland,-0.6566045550041429,-0.19248097615206503,-0.5368352312397145,-0.725819334768555,-0.4138371090214921,0.7268599837959777
22,Chile,-0.5393926542659907,-0.4191504661657146,-0.568661013733893,-0.4949029063961566,-0.4666772480110694,0.554571245259692
23,Cameroon,,,,,,
